"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"66637",0001-02-20,2014-05-10 00:00:00,"0.326","0.128","243.150","1.400","0.000","0.000",0
"66638",0001-02-20,2014-05-10 00:01:00,"0.326","0.130","243.320","1.400","0.000","0.000",0
"66639",0001-02-20,2014-05-10 00:02:00,"0.324","0.132","243.510","1.400","0.000","0.000",0
"66640",0001-02-20,2014-05-10 00:03:00,"0.324","0.134","243.900","1.400","0.000","0.000",0
"66641",0001-02-20,2014-05-10 00:04:00,"0.322","0.130","243.160","1.400","0.000","0.000",0
"66642",0001-02-20,2014-05-10 00:05:00,"0.320","0.126","242.290","1.400","0.000","0.000",0
"66643",0001-02-20,2014-05-10 00:06:00,"0.320","0.126","242.460","1.400","0.000","0.000",0
"66644",0001-02-20,2014-05-10 00:07:00,"0.320","0.126","242.630","1.400","0.000","0.000",0
"66645",0001-02-20,2014-05-10 00:08:00,"0.320","0.128","242.700","1.400","0.000","0.000",0
"66646",0001-02-20,2014-05-10 00:09:00,"0.236","0.000","242.890","1.000","0.000","0.000",0
"66647",0001-02-20,2014-05-10 00:10:00,"0.226","0.000","243.000","1.000","0.000","0.000",0
"66648",0001-02-20,2014-05-10 00:11:00,"0.224","0.000","242.500","1.000","0.000","0.000",0
"66649",0001-02-20,2014-05-10 00:12:00,"0.224","0.000","242.180","1.000","0.000","0.000",0
"66650",0001-02-20,2014-05-10 00:13:00,"0.224","0.000","242.150","1.000","0.000","0.000",0
"66651",0001-02-20,2014-05-10 00:14:00,"0.224","0.000","242.730","1.000","0.000","0.000",0
"66652",0001-02-20,2014-05-10 00:15:00,"0.260","0.000","242.850","1.200","0.000","0.000",0
"66653",0001-02-20,2014-05-10 00:16:00,"0.304","0.096","242.890","1.200","0.000","0.000",0
"66654",0001-02-20,2014-05-10 00:17:00,"0.302","0.096","242.870","1.200","0.000","0.000",0
"66655",0001-02-20,2014-05-10 00:18:00,"0.302","0.094","242.190","1.200","0.000","0.000",0
"66656",0001-02-20,2014-05-10 00:19:00,"0.300","0.094","242.230","1.200","0.000","0.000",0
"66657",0001-02-20,2014-05-10 00:20:00,"0.300","0.094","242.160","1.200","0.000","0.000",0
"66658",0001-02-20,2014-05-10 00:21:00,"0.298","0.094","242.290","1.200","0.000","0.000",0
"66659",0001-02-20,2014-05-10 00:22:00,"0.298","0.094","242.470","1.200","0.000","0.000",0
"66660",0001-02-20,2014-05-10 00:23:00,"0.296","0.094","242.320","1.200","0.000","0.000",0
"66661",0001-02-20,2014-05-10 00:24:00,"0.296","0.096","242.980","1.200","0.000","0.000",0
"66662",0001-02-20,2014-05-10 00:25:00,"0.298","0.100","243.650","1.200","0.000","0.000",0
"66663",0001-02-20,2014-05-10 00:26:00,"0.228","0.000","243.550","1.000","0.000","0.000",0
"66664",0001-02-20,2014-05-10 00:27:00,"0.226","0.000","243.110","1.000","0.000","0.000",0
"66665",0001-02-20,2014-05-10 00:28:00,"0.226","0.000","243.090","1.000","0.000","0.000",0
"66666",0001-02-20,2014-05-10 00:29:00,"0.226","0.000","243.050","1.000","0.000","0.000",0
"66667",0001-02-20,2014-05-10 00:30:00,"0.226","0.000","243.220","1.000","0.000","0.000",0
"66668",0001-02-20,2014-05-10 00:31:00,"0.226","0.000","243.370","1.000","0.000","0.000",0
"66669",0001-02-20,2014-05-10 00:32:00,"0.226","0.000","243.140","1.000","0.000","0.000",0
"66670",0001-02-20,2014-05-10 00:33:00,"0.226","0.000","243.120","1.000","0.000","0.000",0
"66671",0001-02-20,2014-05-10 00:34:00,"0.322","0.094","242.740","1.400","0.000","0.000",0
"66672",0001-02-20,2014-05-10 00:35:00,"0.336","0.126","242.590","1.400","0.000","0.000",0
"66673",0001-02-20,2014-05-10 00:36:00,"0.332","0.126","242.910","1.400","0.000","0.000",0
"66674",0001-02-20,2014-05-10 00:37:00,"0.332","0.130","243.510","1.400","0.000","0.000",0
"66675",0001-02-20,2014-05-10 00:38:00,"0.330","0.130","243.650","1.400","0.000","0.000",0
"66676",0001-02-20,2014-05-10 00:39:00,"0.328","0.128","243.370","1.400","0.000","0.000",0
"66677",0001-02-20,2014-05-10 00:40:00,"0.328","0.130","243.790","1.400","0.000","0.000",0
"66678",0001-02-20,2014-05-10 00:41:00,"0.326","0.128","243.230","1.400","0.000","0.000",0
"66679",0001-02-20,2014-05-10 00:42:00,"0.324","0.126","242.980","1.400","0.000","0.000",0
"66680",0001-02-20,2014-05-10 00:43:00,"0.322","0.126","242.950","1.400","0.000","0.000",0
"66681",0001-02-20,2014-05-10 00:44:00,"0.322","0.124","242.600","1.400","0.000","0.000",0
"66682",0001-02-20,2014-05-10 00:45:00,"0.322","0.128","243.330","1.400","0.000","0.000",0
"66683",0001-02-20,2014-05-10 00:46:00,"0.318","0.118","241.320","1.400","0.000","0.000",0
"66684",0001-02-20,2014-05-10 00:47:00,"0.316","0.116","240.930","1.400","0.000","0.000",0
"66685",0001-02-20,2014-05-10 00:48:00,"0.316","0.116","240.930","1.400","0.000","0.000",0
"66686",0001-02-20,2014-05-10 00:49:00,"0.274","0.058","240.360","1.200","0.000","0.000",0
"66687",0001-02-20,2014-05-10 00:50:00,"0.222","0.000","240.930","1.000","0.000","0.000",0
"66688",0001-02-20,2014-05-10 00:51:00,"0.222","0.000","240.830","1.000","0.000","0.000",0
"66689",0001-02-20,2014-05-10 00:52:00,"0.222","0.000","240.520","1.000","0.000","0.000",0
"66690",0001-02-20,2014-05-10 00:53:00,"0.224","0.000","241.450","1.000","0.000","0.000",0
"66691",0001-02-20,2014-05-10 00:54:00,"0.224","0.000","241.590","1.000","0.000","0.000",0
"66692",0001-02-20,2014-05-10 00:55:00,"0.226","0.000","242.550","1.000","0.000","0.000",0
"66693",0001-02-20,2014-05-10 00:56:00,"0.226","0.000","242.880","1.000","0.000","0.000",0
"66694",0001-02-20,2014-05-10 00:57:00,"0.226","0.000","242.630","1.000","0.000","0.000",0
"66695",0001-02-20,2014-05-10 00:58:00,"0.224","0.000","242.200","1.000","0.000","0.000",0
"66696",0001-02-20,2014-05-10 00:59:00,"0.224","0.000","241.840","1.000","0.000","0.000",0
"66697",0001-02-20,2014-05-10 01:00:00,"0.222","0.000","240.890","1.000","0.000","0.000",0
"66698",0001-02-20,2014-05-10 01:01:00,"0.222","0.000","240.860","1.000","0.000","0.000",0
"66699",0001-02-20,2014-05-10 01:02:00,"0.260","0.000","240.640","1.200","0.000","0.000",0
"66700",0001-02-20,2014-05-10 01:03:00,"0.298","0.088","240.720","1.200","0.000","0.000",0
"66701",0001-02-20,2014-05-10 01:04:00,"0.302","0.094","242.180","1.200","0.000","0.000",0
"66702",0001-02-20,2014-05-10 01:05:00,"0.302","0.096","242.660","1.200","0.000","0.000",0
"66703",0001-02-20,2014-05-10 01:06:00,"0.302","0.096","242.770","1.200","0.000","0.000",0
"66704",0001-02-20,2014-05-10 01:07:00,"0.300","0.096","242.600","1.200","0.000","0.000",0
